record_type,record_id,sprint,actor_or_item,state,start_day,finish_day,value,unit,notes
observation,OBS-01,0,guest_buyer,observed,,,7,count,"7/10 người mô phỏng bỏ checkout khi buộc tạo tài khoản"
observation,OBS-02,0,warehouse_clerk,observed,,,4,count,"4/12 đơn mô phỏng cần nhập lại địa chỉ"
observation,OBS-03,0,sponsor,assumption,,,20,percent,"Target tăng đơn; chưa phải evidence thực tế"
observation,OBS-04,0,customer_service,observed,,,6,count,"6/15 yêu cầu hỏi trạng thái đơn"
flow,PBI-101,1,catalog_search,done,1,3,2,cycle_days,"Lát tìm kiếm sản phẩm"
flow,PBI-102,1,product_detail,done,1,4,3,cycle_days,"Chi tiết và tồn kho"
flow,PBI-103,1,cart_update,done,2,5,3,cycle_days,"Cập nhật số lượng"
flow,PBI-104,1,promo_validation,done,3,6,3,cycle_days,"Mã khuyến mãi sai"
flow,PBI-105,1,address_validation,done,4,8,4,cycle_days,"Địa chỉ giao hàng"
flow,PBI-106,1,checkout_sandbox,done,5,9,4,cycle_days,"Thanh toán sandbox"
flow,PBI-107,1,order_confirmation,in_progress,7,,,work_item_age,"Đang chờ email sandbox"
flow,PBI-108,1,order_tracking,in_progress,8,,,work_item_age,"Đang chờ contract trạng thái"
flow,PBI-201,2,admin_inventory,done,1,2,1,cycle_days,"Happy path"
flow,PBI-202,2,order_audit,done,1,3,2,cycle_days,"Audit trạng thái"
flow,PBI-203,2,shipping_quote,done,2,10,8,cycle_days,"Outlier do sandbox lỗi"
flow,PBI-204,2,analytics_events,done,3,5,2,cycle_days,"Funnel events"
flow,PBI-205,2,keyboard_checkout,in_progress,5,,,work_item_age,"Accessibility evidence chưa đạt"
metric,MET-01,1,visitors,measured,,,1000,count,"Anonymous synthetic sessions"
metric,MET-02,1,add_to_cart,measured,,,300,count,"30% visitors"
metric,MET-03,1,checkout_start,measured,,,180,count,"60% add-to-cart"
metric,MET-04,1,order_success,measured,,,135,count,"13.5% visitors; 75% checkout starts"
metric,MET-05,1,reentry_required,measured,,,9,count,"9/135 successful orders"
risk,RISK-01,2,payment_sandbox,open,,,3,impact_level,"Probability medium; blocks payment evidence"
risk,RISK-02,2,shipping_sandbox,mitigated,,,2,impact_level,"Fallback quote table approved for simulation"
